library_id,ad_url,started_running,sponsor,ad_body,media_url
4340867296183027,https://www.facebook.com/ads/library/?id=4340867296183027,"Jan 22, 2026",​,Low impression count Platforms Impressions: <100 EU transparency Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/619319404_892484979824611_7820467925101304450_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=BBomlUXArPMQ7kNvwEYwvgC&_nc_oc=Adm8u9We6Kz4ROxBQGsgLhl5J560wr0MiDhXTjAvOfP45Vv-dbWsPdaYlCP7UtPG-7M&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_AfsRb1vxw2__QeWyjwuZloAdkS2lV5Xib48LfaZyc-Dnfg&oe=69882D32
2090175898466945,https://www.facebook.com/ads/library/?id=2090175898466945,"Jan 23, 2026",​,Low impression count Platforms Impressions: <100 EU transparency Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/618705198_1389704529453467_345455855468516387_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=cn1yo_NfKXoQ7kNvwFvhGdp&_nc_oc=AdmdUb6eyiuynRFBBbWXytwQDgZyKxFdb_TemxR5x2Yq97ScAQkRkLAm1wCCmAM58d0&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_AfsfyXZQ9oNBpt_9c5HqU2zHvQigVjdkAxuSI5JerjMhMA&oe=69882C1A
829990430040594,https://www.facebook.com/ads/library/?id=829990430040594,"Feb 1, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/611372729_1937367386854962_6625693140792118864_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=IOo81BV2nj4Q7kNvwE8byQy&_nc_oc=Admy8n0KijFdIbojrw77BR_4qI5deIgkGvyn-bBtJ-tCseeaLSm3fYIIc5xma_r67Ag&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_Aft_GELPpcqWJA08ryxHaEfeLHeXxCe07hiVR--3ZzQAcQ&oe=6988476A
886494910779226,https://www.facebook.com/ads/library/?id=886494910779226,"Jan 19, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/613143602_1957872851459106_7542277041865164551_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=102&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=tMPql0R4J9kQ7kNvwFvUz_h&_nc_oc=Adlj2LJD_7quoHiJZprbIbh7YIRyyoKbxfC4-LGzVwsreBTYAwq6hXjZtZYIVC6DnNk&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_AftHYuZegiegyJkBK3ofY2_6ZyaHNLoyEPJrzrRLcpsD1g&oe=698840B7
4316988331956401,https://www.facebook.com/ads/library/?id=4316988331956401,"Jan 30, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/610752853_1362864678415108_5658966118023880102_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=9ce3S2x4ZCoQ7kNvwGVmYK1&_nc_oc=AdnoLv82D9nBilC7cIu_XTvfHu7q18O8kxQuIP8PlBMIYLQoYbrRs-jkMbcn8WRIh7g&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_AfskJefnbCzwMFcxxtH4N6AfAt2uqczCme6MqT03FBguqQ&oe=69884FAA
893581709807988,https://www.facebook.com/ads/library/?id=893581709807988,"Jan 11, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/613586522_868971716064864_4164331083627541988_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=lYvIB2QahgQQ7kNvwGm_7Lw&_nc_oc=Adkcb0mdNLUnF2ETUGzT7MOZ1ulODoF9fmy4ePYS-8keQ7IDBrEBTpuWijmopCOM0q4&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_AfsZiC_fsvZ4xF5DhN9DxDd2f9AALQdnn2AENvhyNWikog&oe=6988275E
1208824300652002,https://www.facebook.com/ads/library/?id=1208824300652002,"Jan 10, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/611272622_1624228742077077_6516336022761443654_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=xdURqsFbNbEQ7kNvwFF5AGM&_nc_oc=AdnplkJ9vgNvKjDlvImHHZHqBlJiRNY8ouH7l81df-Ywy5lDZFcrfe3T5W5lI040VZc&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_AftQBFI5E_12XUd-F8XvYy8YVpJ3WHDTlJIPLizrIwFvGw&oe=69884FB5
1370165234243148,https://www.facebook.com/ads/library/?id=1370165234243148,"Jan 10, 2026",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/611717429_1499305788862873_2224927972342392388_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=MdT29FGy4jQQ7kNvwHznutg&_nc_oc=AdkAQjDTZyiEzBI4WcLdX5YSGUAiLZNmFXBw41MnhZCBIm1lf5bUhazUEVHNI17BpBk&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=r1MSrPBA2KPoFQ6vuEsixg&oh=00_AftSKhk0n91Svwysqcoq7bnkrOQ3d3LVCFbgMBGtmgCcGQ&oe=69884687
1846411132906700,https://www.facebook.com/ads/library/?id=1846411132906700,"Feb 3, 2026 · Total active time 6 hrs",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/619088344_1453660003433866_4263160180096683353_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ebPR1NAVWJMQ7kNvwE71z66&_nc_oc=Adm-U6vLUFQ7yXhDQKMkWEEgzluhvwiDzk7IeyXrtoxoPKo3TDrtD1S-BhUYpjsR66E&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=sGuGPzOpN6r-TCu69nB4og&oh=00_AftmxFnhU7cIv_96OnnMtkYwor3C1q-773LlBuZZHywHmw&oe=69881EC4
861713793368422,https://www.facebook.com/ads/library/?id=861713793368422,"Feb 3, 2026 · Total active time 12 hrs",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/619088344_1453660003433866_4263160180096683353_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ebPR1NAVWJMQ7kNvwE71z66&_nc_oc=Adm-U6vLUFQ7yXhDQKMkWEEgzluhvwiDzk7IeyXrtoxoPKo3TDrtD1S-BhUYpjsR66E&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=sGuGPzOpN6r-TCu69nB4og&oh=00_AftmxFnhU7cIv_96OnnMtkYwor3C1q-773LlBuZZHywHmw&oe=69881EC4
904281699206417,https://www.facebook.com/ads/library/?id=904281699206417,"Feb 3, 2026 · Total active time 12 hrs",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/619088344_1453660003433866_4263160180096683353_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ebPR1NAVWJMQ7kNvwE71z66&_nc_oc=Adm-U6vLUFQ7yXhDQKMkWEEgzluhvwiDzk7IeyXrtoxoPKo3TDrtD1S-BhUYpjsR66E&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=sGuGPzOpN6r-TCu69nB4og&oh=00_AftmxFnhU7cIv_96OnnMtkYwor3C1q-773LlBuZZHywHmw&oe=69881EC4
1225429805641588,https://www.facebook.com/ads/library/?id=1225429805641588,"Feb 3, 2026 · Total active time 12 hrs",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/619088344_1453660003433866_4263160180096683353_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ebPR1NAVWJMQ7kNvwE71z66&_nc_oc=Adm-U6vLUFQ7yXhDQKMkWEEgzluhvwiDzk7IeyXrtoxoPKo3TDrtD1S-BhUYpjsR66E&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=sGuGPzOpN6r-TCu69nB4og&oh=00_AftmxFnhU7cIv_96OnnMtkYwor3C1q-773LlBuZZHywHmw&oe=69881EC4
1240046528220185,https://www.facebook.com/ads/library/?id=1240046528220185,"Feb 3, 2026 · Total active time 12 hrs",​,Low impression count Platforms Impressions: <100 Open Dropdown,https://scontent.fjrs4-1.fna.fbcdn.net/v/t39.35426-6/619088344_1453660003433866_4263160180096683353_n.jpg?stp=dst-jpg_s60x60_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ebPR1NAVWJMQ7kNvwE71z66&_nc_oc=Adm-U6vLUFQ7yXhDQKMkWEEgzluhvwiDzk7IeyXrtoxoPKo3TDrtD1S-BhUYpjsR66E&_nc_zt=14&_nc_ht=scontent.fjrs4-1.fna&_nc_gid=sGuGPzOpN6r-TCu69nB4og&oh=00_AftmxFnhU7cIv_96OnnMtkYwor3C1q-773LlBuZZHywHmw&oe=69881EC4
